code_commune;nom_commune;cat_commune
10106;CU ANTANANARIVO;RUR 2
10201;AMBALAVAO;RUR 2
10202;AMBATOFAHAVALO;RUR 2
10203;AMBOHIDRAPETO;RUR 2
10204;AMBOHIJANAKA;RUR 2
10205;AMPITATAFIKA;RUR 2
10206;ANDOHARANOFOTSY;RUR 2
10207;ANDRANONAHOATRA;RUR 2
10208;ANDROHIBE;RUR 2
10209;ANKARAOBATO;RUR 2
10210;ANTANETIKELY;RUR 2
10211;BEMASOANDRO;RUR 2
10212;BONGATSARA;RUR 2
10214;ITAOSY;RUR 2
10215;SOALANDY;RUR 2
10216;TANJOMBATO;RUR 2
10217;TSIAFAHY;RUR 2
10218;ALATSINAINY AMBAZAHA;RUR 2
10219;AMPAHITROSY;RUR 2
10220;AMPANEFY;RUR 2
10221;ANKADIMANGA;RUR 2
10222;FIOMBONANA;RUR 2
10223;AMBAVAHADITOKANA;RUR 2
10224;ANOSIZATO ANDREFANA;RUR 2
10226;ALAKAMISY FENOARIVO;RUR 2
10301;ALASORA;RUR 2
10302;AMBOHIMALAZA MIRAY;RUR 2
10303;AMBOHIMANAMBOLA;RUR 2
10304;AMBOHIMANGA ROVA;RUR 2
10305;AMBOHIMANGAKELY;RUR 2
10306;ANJEVA GARA;RUR 2
10307;ANKADIKELY ILAFY;RUR 2
10308;ANKADINANDRIANA;RUR 2
10309;FIEFERANA;RUR 2
10310;MASINDRAY;RUR 2
10311;SABOTSY NAMEHANA;RUR 2
10312;TALATA VOLONONDRY;RUR 2
10313;MANANDRIANA;RUR 2
10314;VILIAHAZO;RUR 2
10315;AMBOHIDRABIBY;RUR 2
10316;ANOSY AVARATRA;RUR 2
10501;AMBATO;RUR 2
10502;AMBATOLAMPY TSIMAHAFOTSY;RUR 2
10503;AMBOHIDRATRIMO;RUR 2
10504;AMBOHIMANJAKA;RUR 2
10505;AMBOHIPIHAONANA;RUR 2
10506;AMBOHITRIMANJAKA;RUR 2
10507;AMPANGABE;RUR 2
10508;AMPANOTOKANA;RUR 2
10509;ANJANADORIA;RUR 2
10510;ANOSIALA;RUR 2
10511;ANTANETIBE;RUR 2
10512;ANTEHIROKA;RUR 2
10513;ANTSAHAFILO;RUR 2
10514;AVARATSENA;RUR 2
10516;IARINARIVO;RUR 2
10517;MERIMANDROSO;RUR 2
10518;IVATO;RUR 2
10520;MAHABO;RUR 2
10521;MAHEREZA;RUR 2
10522;MAHITSY;RUR 2
10523;MANANJARA;RUR 2
10524;MANJAKAVARADRANO;RUR 2
10525;TALATAMATY;RUR 2
10601;ALAROBIA VATOSOLA;RUR 2
10602;ALATSINAINY BAKARO;RUR 2
10603;AMBOHIMIADANA;RUR 2
10604;ANDOHARIANA;RUR 2
10605;ANDRAMASINA;RUR 2
10606;ANOSIBE TRIMOLOHARANO;RUR 2
10607;FITSINJOVANA BAKARO;RUR 2
10608;MANDROSOA;RUR 2
10609;SABOTSY AMBOHITROMBY;RUR 2
10611;TANKAFATRA;RUR 2
10613;SABOTSY MANJAKAVAHOAKA;RUR 2
10614;MORARANO SOAFIRAISANA;RUR 2
10615;ANJOMA FALIARIVO;RUR 2
10701;ALAKAMISY;RUR 2
10702;AMBATOMANOINA;RUR 2
10704;AMBOHIBARY VOHILENA;RUR 2
10705;AMBONGAMARINA;RUR 2
10706;ANALAROA;RUR 2
10707;ANJOZOROBE;RUR 2
10709;BERONONO;RUR 2
10710;BETATAO;RUR 2
10711;MANGAMILA;RUR 2
10712;MAROTSIPOY;RUR 2
10713;TSARASAOTRA ANDONA;RUR 2
10714;AMPARATANJONA;RUR 2
10715;AMBOHIMANARINA MAROVAZAHA;RUR 2
10716;ANDROVAKELY;RUR 2
10717;BELANITRA;RUR 2
10718;AMBOHIMIRARY;RUR 2
10719;ANDRANOMISA;RUR 2
10801;AMBOHITROMBY;RUR 2
10802;AMBOLOTARAKELY;RUR 2
10803;ANKAZOBE;RUR 2
10804;ANTAKAVANA;RUR 2
10805;ANTOTOHAZO;RUR 2
10807;FIHAONANA;RUR 2
10808;KIANGARA;RUR 2
10809;MAHAVELONA;RUR 2
10810;MIANTSO;RUR 2
10811;TALATA ANGAVO;RUR 2
10812;TSARAMASOANDRO;RUR 2
10813;MARONDRY;RUR 2
10815;ANDRANOMIELY;RUR 2
10816;MANGASOAVINA;RUR 2
11601;ALAROBIA;RUR 2
11602;AMBANITSENA;RUR 2
11603;AMBATOLAONA;RUR 2
11604;AMBATOMANGA;RUR 2
11605;AMBATOMENA;RUR 2
11607;AMBOHITRANDRIAMANITRA;RUR 2
11608;AMBOHITROLOMAHITSY;RUR 2
11609;AMBOHITRONY;RUR 1
11610;AMBOHITSEHENO;RUR 1
11611;ANJEPY;RUR 1
11613;ANTSAHALALINA;RUR 1
11614;ANJOMA BETOHO;RUR 1
11615;MANJAKANDRIANA;RUR 1
11616;MANTASOA;RUR 1
11617;MERIKANJAKA;RUR 1
11618;MIADANANDRIANA;RUR 1
11619;NANDIHIZANA CARION;RUR 1
11620;RANOVAO;RUR 1
11621;SADABE;RUR 1
11622;SAMBAINA;RUR 1
11623;SOAVINANDRIANA AMBOHIDRATRIMOANALA;RUR 1
11624;AMPANEVA;RUR 1
11625;AMBOHIBAO SUD;RUR 1
11627;ANKAZONDANDY;RUR 1
30401;AMBATOFINANDRAHANA;RUR 1
30402;AMBATOMIFANONGOA;RUR 1
30403;AMBONDROMISOTRA;RUR 2
30404;AMBOROMPOTSY;RUR 2
30405;FENOARIVO;RUR 2
30406;ITREMO;RUR 1
30407;MANDROSONORO;RUR 2
30408;MANGATABOAHANGY;RUR 2
30409;SOAVINA;RUR 2
30601;ALAKAMISY AMBOHIJATO;RUR 2
30602;AMBALAMANAKANA;RUR 2
30603;AMBATOFITORAHANA;RUR 2
30604;AMBINANINDRANO;RUR 2
30605;AMBOHIMITOMBO I;RUR 2
30607;AMBOSITRA II;RUR 2
30608;ANDINA;RUR 2
30609;ANKAZOAMBO;RUR 2
30610;ANTOETRA;RUR 2
30611;FAHIZAY;RUR 2
30612;IHADILALANA;RUR 2
