code_etab;nom_etab;telephone;e_mail;nom_proprio;nom_directeur;code_type_affiliation;type_affiliation;nif;foko_etab
503011002;ECOLE PRIVEE LES ETOILES;034 05 882 38;sengwavalerie22@gmail.com;LYCEE PRIVEE LES ETOILES;VOLOLONIRINA VALERIE HO SENGWA;8;DN/ELM;;5030101
503011003;ECOLE PRIVEE LES PETITS PRINCES;034 37 450 09;rfenitra56@gmail.com;TODIMAHENINTSOA FENITRA;TODIMAHENINTSOA FENITRA;8;DN/ELM;;5030104
503011004;ECOLE PRIVEE LES ESPOIRS;034 76 378 08;;RANDRIAMBOLA Vincent;RANDRIAMBOLA Vincent;8;DN/ELM;;5030101
503021001;COLLEGE PRIVE EDEN;034 69 099 50;;LEMISY ;RASOLONIRINA LALA Aimée;5;DN/ADVENTISTE;4000936336;5030203
503021003;COLLEGE PRIVE SAINT JOSEPH;034 18 350 64;michouroberson@gmail.com;CO.FEC;MINOSOA Roberson Narivelo;1;DINEC;2000122548;5030209
503021004;ECOLE PRIVEE ADVENTISTE;034 31 729 87;;;;1;DINEC;;5030203
503021006;ECOLE PRIVEE MIALIN-JAZA;034 67 185 09;;RAKOTONIRINA RAMIALISOA Lala;RAVAOARIOLO Nirina;7;DN/EPM;;5030209
503021009;ECOLE PRIVEE SAINTE THERESE;034 14 798 04;;SMMI;RAMANANTENASOA Jacqueline;1;DINEC;;5030209
503021010;INSTITUTION NOUVELLE ALAOTRA;034 60 823 63;rakotoandrianaivo78@gmail.com;RAKOTO Justin Harinaivo Mahefa;RAKOTO Justin Harinaivo Mahefa;4;DN/FLM;5 001 177 573;5030209
503021011;COLLEGE FJKM RASALAMA;034 95 131 10;;FKM;RASOLONIERANA HERISOA;2;DN/FJKM;;5030204
503021013;ECOLE PRIVEE AMBININTSOA;034 06 776 86;lalandrianary@gmail.com;RAKOTOZANANY Malalasona Daniel;RAKOTOZANANY LISY HAINGONIAINA;10;AILE;3003936126;5030206
503021014;ECOLE PRIVEE FIVOARANA;034 65 651 96;;VOAHANGINIRINA ROSALIE TANTELIARISOA ;VOAHANGINIRINA ROSALIE TANTELIARISOA ;8;DN/ELM;;5030206
503021015;ECOLE PRIVEE LA COLOMBE;020 54 811 31;;RASOARIMIADANA Domoinasoloniaina Tiana;ANDRIAMASINORO Vololontsahondra;7;DN/EPM;161 386 712;5030207
503021016;ECOLE FJKM BEFINOANA;034 89 365 71;;FJKM;RAOELISON HANTSA ANDRIANAIVO;2;DN/FJKM;;5030208
503021017;ECOLE PRIVEE COQUELICOT;034 17 702 35;;ANDRIAMIADANA JEAN MICHEL;ANDRIAMIADANA JEAN MICHEL;11;NON AFFILIÉ;;5030207
503021018;ECOLE PRIVEE N'ABC;034 01 368 12;;RAHARINJANAHARY LANTO JOSEE;RAHARINJANAHARY LANTO JOSEE;7;DN/EPM;170416712;5030207
503021019;ECOLE FRANCAISE DU LAC ALAOTRA;034 26 671 75;efdulac@gmail.com;APE (Association des Parents d'Elèves);RAMIANDRASOA Landy Nirimanitra;11;NON AFFILIÉ;;5030204
503021020;ECOLE PRIVEE RANTOSOA;034 13 109 57;;ANDRIAMORASATA Guillaume Joseph ;ANDRIAMORASATA Guillaume Joseph ;7;DN/EPM;4002977302;5030202
503021022;ECOLE PRIVEE MIARIZAKA;034 01 418 05;;RAZAFIMBOAHANGY NOELINE ELISABETH;;8;DN/ELM;;5030204
503021028;LYCEE PRIVE LA NOUVELLE FORMULE DE L'AVENIR;034 19 925 72;;LANTO HARI RAZAKAMANANA;RAHASIVOAHANGINIRINAMALALAJAONA LAINGO MIORA;8;DN/ELM;;5030207
503021029;ECOLE PRIVEE LA REUSSITE;034 61 325 83;;RAKOTONDRANORO Solohanitriniaina Mamy;RAZAFINOLINIAINA Jean Chritrian;7;DN/EPM;;5030206
503021030;ECOLE PRIVEE CATHOLIQUE SACRE-COEUR AMPASAMBAZIMBA;034 01 981 36;;ECOLE PAROISSIAL;RAZAFINDRABE Claude Rolland;1;DINEC;;5030204
503021031;ECOLE PRIMAIRE PRIVEE LINKING COUNTRIES TRAINING AND ACTION;034 29 775 41;;RATSIMBAMIOVA Rivomanana;RANDRIAHOHENINTSOA Fenomanana Zo;7;DN/EPM;;5030210
503021032;ECOLE PRIMAIRE PRIVEE LES ROSSIGNOLS;034 32 702 43;hugofrancois25@gmail.com;RANDRIANARINTSOA HUGO FRANCOIS;RANDRIANARINTSOA HUGO FRANCOIS;10;AILE;;5030206
503021033;LYCEE CATHOLIQUE SAINT PIERRE;034 84 263 39;;ECAR DIOCESE AMBATONDRAZAKA;Père RAZAFINDRABE Claude Rolland;1;DINEC;;5030209
503021034;ECOLE PRIMAIRE PRIVEE FANOVOZANTSOA;034 80 500 52;efrazahary@gmail.com;RAKOTONJANAHARY Rivo Lalaina;RAKOTONJANAHARY Rivo lalaona;7;DN/EPM;;5030208
503021035;ECOLE PRIMAIRE PRIVEE MIKOLO;034 17 237 83;lantomalalaran@yahoo.fr;RANDRIANABO Lantomalala;RANDRIANABO Lantomalala;7;DN/EPM;6000677683;5030210
