code_fokontany;nom_fokontany;code_zap
5030101;AMBANDRIKA;50313
5030104;BETOLOHA;50313
5030203;AMBOHIMASINA;50302
5030209;AVARADROVA AVARATRA;50301
5030204;AMPASAMBAZIMBA;50302
5030206;ANTANIFOTSY;50301
5030207;ATSIMONDROVA;50301
5030208;AVARADROVA ATSIMO;50301
5030202;AMBODIMANGA;50302
5030210;MADIOTSIFAFANA;50301
5030307;ANDRARABARY;50303
5030201;AMBALABAKO;50303
5032204;AMPARIHIMPONY;50304
5030401;AMBATOSORATRA;50304
5030403;ANDREBA;50304
5032206;ANDRANOMENA;50304
5032201;AMBATOMANGA;50304
5032203;AMBOHIDAVA;50304
5030505;AMBOHITSILAOZANA;50305
5030509;TANAMBAO JIAPASIKA;50305
5030503;AMBOHIPASIKA;50305
5030502;AMBOHIMANGA;50305
5030608;MORARANO;50306
5030607;MADIORANO;50306
5030701;AMBOHIBOATAVO;50307
5030703;AMBOHITANIBE;50307
5030707;AMPITATSIMO;50307
5030702;AMBOHIMENA;50307
5030704;AMBONIVOHITRA;50307
5030806;ANDILANATOBY;50308
5030812;MANGATANY;50308
5030802;AMBODINONOKA;50308
5030904;ANDROMBA PONT;50309
5031004;ANTANANDAVA;50309
5031102;ANTSANGASANGA;50317
5031104;TSARASOKITRA;50317
5031204;BEJOFO;50310
5031207;TSINJOARIVO;50310
5031203;ANANDROBE;50310
5031303;AMBOHIJANAHARY;50311
5031313;VOHIDRAZAKA;50312
5031308;FIERENANA AMBOHIBE;50312
5031304;AMBOHIMANGA;50312
5031410;MANGALAZA;50313
5031506;ILAFY;50314
5031509;MANJAKATSIMIHOATRA;50314
5031609;IMERIMANDROSO;50315
5031606;ANDRANOMANDEHA;50315
5031603;AMBODINONOKA;50315
5031705;ANTOKAZO;50316
5031802;AMBALAVATO;50317
5031814;VOHIDIALA;50317
5031810;MANAKAMBAHINY SUD;50317
5031809;MANAKAMBAHINY NORD;50317
5031808;ANTANIMENA;50307
5031804;AMBOHIDEHILAHY;50317
5031101;AMPARATSIRAKA;50317
5031903;SAHAFOY ANDRANOBE;50318
5031902;MAHATSARA;50318
5031904;SOALAZAINA;50318
5032004;TANAMBAO BESAKAY;50319
5032002;ANJIRO;50319
5032103;ANTANAMBEHIVAVIKELY;50303
5030103;AMBODIATAFANA;50313
5031404;ANALABEHASINA;50313
5030102;AMBANIALA;50313
5030304;AMBOLOMBORONA;50303
5030303;AMBOHITRANJAKANA;50303
5030305;AMBONGABE;50303
5030306;ANDINGADINGANA;50303
5030205;ANOSINDRAFILO;50301
5030301;AMBODIVOARA;50303
5032202;AMBATOMASINA;50304
5030402;AMBOHIDAVAKELY;50304
5030406;VOHIDRAZANA;50304
5032205;ANDRANGORONA;50304
5030404;ANGOJA;50304
5030405;LOHAFASIKA;50304
5030501;AMBODIVOARA;50305
5030504;AMBOHITRESANA;50305
5030506;ANTANDROKOMBY;50305
5030105;MANGALAHALA;50313
5030508;MENALOHA;50305
5030605;ANTSIRADAVA;50306
5030604;ANTSAHALEMAKA;50306
5030602;AMBOHIBARY;50306
5030606;BETSIANJAVA;50306
5030603;AMPARIHINTSOKATRA;50306
5032101;AMBOHIBOROMANGA;50307
5030705;AMPAHATRA;50307
5030706;AMPANDRIANOSY;50307
5030801;AMBODIFIAKARANA;50308
5030805;ANDASIBE;50308
5030808;ANDRANOMADIO;50308
5030814;SAHANIDINGANA;50308
5030803;AMBOHIMASINA;50308
5030804;AMBOHIMIARINA;50308
5030807;ANDRANOKOBAKA;50308
5030809;ANKASINA;50308
5030810;ANTSAMPANIMAHAZO;50308
5030811;FIERENANA;50308
5030813;RANOFOTSY;50308
5030902;AMBOHITROMBY;50309
5030903;AMPANANGANANA;50309
5031007;MANAMBATO;50309
5031003;AMBONGABE;50309
5031006;BEKATSAKA;50309
5031001;AMBODIAPALY;50309
5031602;AMBOASARIMASINA;50309
5031002;AMBODIROTRA;50309
