code_zap;nom_zap;code_commune
50313;FERAMANGA NORD;50301
50302;AMBATONDRAZAKA II;50302
50301;AMBATONDRAZAKA I;50302
50303;AMBATONDRAZAKA SUB;50303
50304;AMBATOSORATRA;50322
50305;AMBOHITSILAOZANA;50305
50306;AMPARIHINTSOKATRA;50306
50307;AMPITATSIMO;50307
50308;ANDILANATOBY;50308
50309;ANDROMBA;50309
50317;MANAKAMBAHINY OUEST;50311
50310;BEJOFO;50312
50311;DIDY I;50313
50312;DIDY II;50313
50314;ILAFY;50315
50315;IMERIMANDROSO;50316
50316;MANAKAMBAHINY EST;50317
50318;SOALAZAINA;50319
50319;TANAMBAO BESAKAY;50320
50417;MAHATSINJO;50410
50401;AMBATOMAINTY;50401
50402;AMBOAVORY I;50402
50404;AMBOHIJANAHARY I;50403
50405;AMBOHIJANAHARY II;50403
50407;AMBOHITRARIVO;50404
50410;AMPARAFARAVOLA III;50405
50408;AMPARAFARAVOLA I;50405
50409;AMPARAFARAVOLA II;50405
50412;ANDREBAKELY NORD;50406
50415;BEANANA;50407
50416;BEDIDY;50408
50424;VOHIMENA;50412
50425;VOHITSARA AMBODIMANGA;50413
50411;ANDILANA NORD;50414
50413;ANDREBAKELY SUD AMPASIKELY;50416
50421;SAHAMAMY;50418
50406;AMBOHIMANDROSO I;50419
50414;ANORORO;50420
50418;MORARANO CHROME I;50421
50419;MORARANO CHROME II;50421
50420;MORARANO CHROME III;50421
50423;TANAMBE II;50422
50422;TANAMBE I;50422
50403;AMBOAVORY II;50402
50502;ANDILAMENA CENTRE;50501
50504;ANDILAMENA SUD;50501
50506;ANTANIMENABAKA SUD;50502
50505;ANTANIMENABAKA NORD;50502
50511;MIARINARIVO NORD;50507
50503;ANDILAMENA NORD;50501
50507;BEMAITSO;50503
50508;MAITSOKELY;50504
50501;AMPONDRABE;50509
50509;MAROADABO;50505
50510;MAROVATO;50506
50512;MIARINARIVO SUD;50507
50513;TANANANIFOLOLAHY;50508
50601;AMBALAOMBY;50601
50602;AMBATOHARANANA;50602
50603;AMBODIMERANA;50611
50604;AMPANDROANTRAKA;50603
50606;ANOSIBE AN\'ALA;50605
50607;ANTANDROKOMBY;50606
50608;FENOARIVO;50607
50609;LONGOZABE;50607
50613;TSARATAMPONA;50605
50614;TSARAVINANY;50610
50611;NIAROVANA;50608
50610;MORAFENO II;50606
50605;AMPASIMANEVA;50605
50612;TRATRAMARINA;50611
51401;AMBATOVOLA;51401
51413;ANTANIDITRA;51418
51402;AMBOASARY;51402
51409;ANDAINGO;51406
51403;AMBOHIBARY I;51403
51426;MORARANO GARA I;51410
51405;AMBOHIDRONONO;51404
51404;AMBOHIBARY II;51403
51422;MANDIALAZA;51407
51408;ANALASOA;51402
51406;AMPASIMPOTSY GARA;51421
51407;AMPASIPOTSY ANTSOROMISY;51422
51412;ANTANANDAVA;51409
51410;ANDASIBE;51419
51417;BEMBARY;51423
51411;ANOSIBE IFODY;51408
51414;BEFORONA I;51411
51423;MANGARIVOTRA;51416
51419;FIERENANA II;51414
51420;LAKATO I;51415
51427;MORARANO GARA II;51410
51416;BELAVABARY;51412
51424;MORAMANGA I;51417
51428;SABOTSY ANJIRO;51413
51429;VODIRIANA;51420
51418;FIERENANA I;51414
51425;MORAMANGA II;51417
51421;LAKATO II;51415
51415;BEFORONA II;51411
30408;ITREMO NORD;30406
30401;AMBATOFINANDRAHANA NORD;30401
30403;AMBATOMIFANONGOA;30402
30404;AMBONDROMISOTRA;30403
30405;AMBOROMPOTSY;30404
30407;FENOARIVO B;30405
30406;FENOARIVO A;30405
30409;ITREMO SUD;30406
30410;MANDROSONORO;30407
30411;MANGATABOAHANGY;30408
30413;SOAVINA B;30409
30412;SOAVINA A;30409
30402;AMBATOFINANDRAHANA SUD;30401
30611;AMBOSITRA ID;30624
30610;AMBOSITRA IB;30624
30601;ALAKAMISY AMBOHIJATO;30601
30602;AMBALAMANAKANA;30602
30603;AMBATOFITORAHANA;30603
30604;AMBINANINDRANO I;30604
30607;AMBOHIMITOMBO I;30605
30612;AMBOSITRA II;30607
30613;ANDINA;30608
30614;ANKAZOAMBO;30609
30615;ANTOETRA I;30610
30617;FAHIZAY;30611
30618;IHADILANANA;30612
30619;ILAKA CENTRE;30613
30620;IMERINA IMADY;30614
30621;IVATO CENTRE;30615
30624;MAHAZINA AMBOHIPIERENANA;30618
30622;IVONY MIARAMIASA;30616
30623;KIANJANDRAKEFINA;30617
30625;MAROSOA;30619
30606;AMBOHIMANJAKA;30620
30627;TSARASAOTRA II;30621
30626;TSARASAOTRA I;30621
30628;VOHIDAHY;30623
30609;AMBOSITRA IA;30624
30605;AMBINANINDRANO II;30604
30608;AMBOHIMITOMBO II;30622
30616;ANTOETRA II;30610
30814;MIARINAVARATRA I;30808
30805;FANDRIANA I;30804
30801;ALAKAMISY AMBOHIMAHAZO I;30801
30802;ALAKAMISY AMBOHIMAHAZO II;30801
30803;ANKARINORO;30802
30804;BETSIMISOTRA;30803
30806;FANDRIANA II;30804
30807;FANDRIANA III;30804
30809;FIADANANA II;30805
30808;FIADANANA I;30805
30810;IMITO I;30806
30811;IMITO II;30806
30812;ISANDRANDAHY AMBONY;30815
30813;MAHAZOARIVO;30807
30816;MIARINAVARATRA III;30808
30815;MIARINAVARATRA II;30808
30817;MILAMAINA;30809
30818;SAHAMADIO I;30810
30819;SAHAMADIO II;30810
30820;SANDRANDAHY I;30811
30822;SANDRANDAHY III;30811
30821;SANDRANDAHY II;30811
30823;SANDRANDAHY IV;30811
30828;TSARAZAZA IV;30813
30827;TSARAZAZA III;30813
30824;TATAMALAZA;30812
30826;TSARAZAZA II;30813
30825;TSARAZAZA I;30813
32301;AMBATOMARINA;32301
32302;AMBOHIMAHAZO;32302
32303;AMBOHIMILANJA;32303
32304;AMBOHIPO;32304
32305;AMBOVOMBE CENTRE I;32305
32308;ANJOMA NANDIHIZANA;32306
32309;ANJOMAN'ANKONA;32307
32310;TALATA VOHIMENA;32309
32311;VINANY ANDAKATANIKELY;32310
32306;AMBOVOMBE CENTRE II;32305
32307;ANDAKATANY;32312
10803;ANKAZOBE;10803
10801;AMBOHITROMBY;10801
10805;ANTOTOHAZO;10805
10807;FIHAONANA;10807
10810;MARONDRY;10813
10806;FIADANANA;10806
10812;TALATA ANGAVO;10811
10808;KIANGARA;10808
10809;MAHAVELONA;10809
10811;MIANTSO;10810
10813;TSARAMASOANDRO;10812
10802;AMBOLOTARAKELY;10802
10804;ANTAKAVANA;10804
10301;ALASORA;10301
10302;AMBOHIDRABIBY;10315
10303;AMBOHIMALAZA;10302
10304;AMBOHIMANAMBOLA;10303
10305;AMBOHIMANGA ROVA;10304
10306;AMBOHIMANGAKELY;10305
10307;ANDRANOVELONA;10307
10308;ANJEVA GARA;10306
10309;ANKADIKELY EST;10307
10310;ANKADIKELY OUEST;10307
10311;ANKADINANDRIANA NORD;10308
10312;ANKADINANDRIANA SUD;10308
10313;ANOSY AVARATRA;10316
10314;ATSIMOMBOHITRA;10305
10315;ATSINANANTSENA;10311
10316;FIAFERANA;10309
10317;MANANDRIANA;10313
10318;MANANKASINA ANOSIARIVO;10304
10319;MASINDRAY;10310
10320;TALATA VOLONONDRY NORD;10312
10321;TALATA VOLONONDRY SUD;10312
10322;VILIAHAZO;10314
10106;ANTANANARIVO VI;10106
10103;ANTANANARIVO III;10103
10101;ANTANANARIVO I;10101
10105;ANTANANARIVO V;10105
10104;ANTANANARIVO IV;10104
10102;ANTANANARIVO II;10102
10207;AMPANEFY;10220
10201;AMBALAVAO;10201
10221;TSARARIVOTRA;10217
10202;AMBATOFAHAVALO;10202
10204;AMBOHIDRAPETO;10203
10205;AMBOHIJANAKA;10204
10208;AMPITATAFIKA;10205
10209;ANDOHARANOFOTSY;10206
10210;ANDRANONAHOATRA;10207
10211;ANDROHIBE;10208
10213;ANKARAOBATO;10209
10206;AMBOHIJOKY;10210
10214;BEMASOANDRO;10211
10212;ANJOMAKELY;10212
10215;FENOARIVO;10213
10217;ITAOSY;10214
10203;AMBAVAHADITOKANA;10223
10218;SOALANDY;10215
10220;TANJOMBATO;10216
10216;FIOMBONANA;10221
10219;SOAVINA;10224
10501;AMBATO;10501
10502;AMBATOLAMPY TSIMAHAFOTSY;10502
10503;AMBOHIDRATRIMO;10503
10504;AMBOHIMANJAKA;10504
10505;AMBOHIPIHAONANA;10505
10506;AMBOHITRIMANJAKA;10506
10507;AMPANGABE;10507
10508;AMPANOTOKANA;10508
10509;ANJANADORIA;10509
10510;ANOSIALA;10510
10511;ANTANETIBE MAHAZAZA;10511
10512;ANTEHIROKA;10512
10513;AVARATSENA;10514
10514;FIADANANA;10515
10515;IARINARIVO;10516
10522;MERIMANDROSO;10517
10516;IVATO;10518
10517;MAHABO;10520
10518;MAHEREZA;10521
10519;MAHITSY;10522
10520;MANANJARA;10523
10523;TALATAMATY;10525
10521;MANJAKAVARADRANO;10513
10601;ALAROBIA VATOSOLA;10601
10602;ALATSINAINY BAKARO;10602
10605;ANJOMA FALIARIVO;10615
10603;AMBOHIMIADANA;10603
10610;SABOTSY AMBOHITROMBY;10604
10604;ANDRAMASINA;10605
10606;ANOSIBE TRIMOLOHARANO;10606
10608;FITSINJOVANA BAKARO;10607
10609;MANDROSOA;10608
10612;TANKAFATRA;10614
10607;ANTOTOHAZO;10612
10611;SABOTSY MANJAKAVAHOAKA;10613
10703;AMBOASARY NORD;10703
10713;ANJOZOROBE I;10719
10720;MAROTSIPOY;10719
10710;AMPARATANJONA;10719
10711;ANALAROA;10706
10712;ANDROVAKELY;10716
10701;ALAKAMISY TSARASAOTRA;10701
10702;AMBATOMANOINA;10702
10705;AMBOHIBARY VOHILENA II;10704
10704;AMBOHIBARY VOHILENA I;10704
10708;AMBONGAMARINA I;10705
10709;AMBONGAMARINA II;10705
10714;ANJOZOROBE II;10707
10715;ANTANETIBE ANATIVOLO;10708
10716;BERONONO;10709
10717;BETATAO;10710
10719;MANGAMILA II;10711
10718;MANGAMILA I;10711
10706;AMBOHIMANARINA;10715
10707;AMBOHIMIRARY;10718
11601;ALAROBIA;11601
11602;AMBANITSENA;11602
11603;AMBATOLAONA;11603
11604;AMBATOMANGA;11604
11605;AMBATOMENA;11605
11607;AMBOHIBARY;11606
11608;AMBOHITRANDRIAMANITRA;11607
11609;AMBOHITROLOMAHITSY;11608
11610;AMBOHITRONY;11609
11611;AMBOHITSEHENO;11610
11613;ANJEPY;11611
11614;ANJOMA BETOHO;11614
11617;MANJAKANDRIANA;11615
11618;MANTASOA;11616
11619;MERIKANJAKA;11617
11620;MIADANANDRIANA;11618
11621;NANDIHIZANA;11619
11622;RANOVAO;11620
11623;SADABE;11621
11624;SAMBAINA;11622
11625;SOAVINANDRIANA;11623
11612;AMPANEVA;11624
11606;AMBOHIBAO SUD;11625
11615;ANKAZONDANDY;11627
11616;ANTSAHALALINA;11613
50910;FENERIVE VILLE;50905
50903;AMBODIMANGA II NORD;50901
50905;AMPASIMBE MANANTSATRANA;50902
50906;AMPASINA MANINGORY NORD;50903
50907;AMPASINA MANINGORY SUD;50903
50908;ANTSIATSIAKA I;50904
50909;ANTSIATSIAKA II;50904
50912;MAHAMBO SUD;50906
50911;MAHAMBO NORD;50906
50915;SARANAMBANA EST;50908
50916;SARANAMBANA OUEST;50908
50917;VOHILENGO NORD;50910
50919;VOHIPENO EST;50911
50920;VOHIPENO OUEST;50911
50902;AMBATOHARANANA;50913
50904;AMBODIMANGA II SUD;50915
50901;AMBANJAN'I SAHALAVA;50914
50914;MIORIMIVALANA;50907
50918;VOHILENGO SUD;50910
50913;MAHANORO;50912
51101;AMBATOHARANANA;51101
51102;AMBODIAMPANA;51102
51103;AMBODIVOANIO;51103
51106;ANTANAMBAOBE;51104
51107;ANTANAMBE I;51105
51105;ANDASIBE;51106
51113;MANANARA I;51107
51104;ANALANAMPOTSY;51116
51109;ANTANANANIVO;51108
51110;IMORONA;51109
51112;MANAMBOLOSY;51110
51114;SANDRAKATSY;51112
51108;ANTANAMBE II;51105
51111;MAHANORO;51115
51117;VANONO;51111
51116;TANIBE;51113
51115;SAROMAONA;51114
51502;LOUKINTSY;51501
51501;AMBODIFOTATRA;51501
51607;ANTANIFOTSY;51605
51602;AMBAHOABE SUD;51602
51604;AMBODIAMPANA;51603
51605;ANDAPAFITO NORD;51604
51606;ANDAPAFITO SUD;51604
51610;FOTSIALANANA;51607
51611;MANOMPANA;51608
51612;SOANIERANA IVONGO I;51609
51601;AMBAHOABE NORD;51602
51608;ANTENINA I;51606
51609;ANTENINA II;51606
51603;AMBINANISAKANA;51610
51613;SOANIERANA IVONGO II;51609
51801;AMBATOHARANANA I;51801
51802;AMBODIMANGAVALO EST;51802
51804;AMBOHIBE NORD;51803
51806;AMPASIMAZAVA;51804
51807;ANDASIBE NORD;51805
51808;ANDASIBE SUD;51805
51809;ANJAHAMBE;51806
51810;MAROMITETY;51807
51811;MIARINARIVO NORD;51808
51815;VAVATENINA NORD;51810
51803;AMBODIMANGAVALO OUEST;51802
51805;AMBOHIBE SUD;51803
51812;MIARINARIVO SUD;51808
51814;TANAMARINA;51811
51813;SAHATAVY;51809
51816;VAVATENINA SUD;51810
51209;ANJAHANA;51203
51217;MAROANTSETRA II;51206
51216;MAROANTSETRA I;51206
51219;RANTABE;51207
51220;VOLOINA;51208
51214;MAHALEVONA;51219
51202;AMBINANITELO I;51201
51203;AMBINANITELO II;51201
51206;ANDRANOFOTSY;51202
51210;ANJANAZANA;51204
51201;AMBANIZANA;51205
51213;ANTSIRABE SAHATANY;51209
51212;ANTAKOTAKO;51210
51215;MANAMBOLO;51211
51208;ANDRONDRONO SUD;51212
51207;ANDRONDRONO NORD;51212
51204;AMBODIMANGA;51214
51218;MORAFENO;51215
51205;ANANDRIVOLA;51216
51211;ANKOFA;51218
60710;BERAKETA;60709
60706;ANTSAKOAMARO;60706
60708;BEKITRO;60707
60712;BETEZA;60710
60707;BEKILY CENTRALE;60714
60719;TSIKOLAKY;60716
60701;AMBAHITA;60701
60715;MAROVIRO;60701
60702;AMBATOSOLA;60701
60716;MIKAIKARIVO AMBATOMAINTY;60701
60711;BESAKOA;60701
60717;TANAMBAO TSIRANDRANY;60702
60703;ANIVORANO MITSINJO;60703
60704;ANJA NORD;60704
60705;ANKARANABO NORD;60705
60713;BEVITIKY;60707
60709;BELINDO MAHASOA;60708
60720;VOHIMANGA;60709
60714;MANAKOMPY;60712
60718;TANANDAVA;60715
60904;KOPOKY;60902
60908;TRANOVAHO;60905
60906;MAROLINTA;60903
60903;BELOHA;60901
60907;TRANOROA;60904
60905;MAHENY;60908
60901;AMBATOTSIVALA;60907
60902;BEHABOBO;60906
60416;ERADA;60411
60402;AMBAZOA;60402
60405;AMBONDRO;60405
60407;AMBOVOMBE II;60406
